Proba,Forma,Odmiana,Czesc_rosliny,Pokolenie,gatunek
E1,jara,Rospuda,lisc,G0,Sarocladium spinificis
E2,jara,Rospuda,lisc,G0,Sarocladium spinificis
E3,jara,Rospuda,lodyga,G0,Sarocladium spinificis
E4,jara,Rospuda,lodyga,G0,Sarocladium spinificis
E5,jara,Rospuda,ziarniak,G0,Sarocladium spinificis
E6,jara,Rospuda,ziarniak,G0,Penicillium chrysogenum
E7,jara,Rospuda,ziarniak,G0,Sarocladium spinificis
E8,jara,Rospuda,ziarniak,G0,Sarocladium spinificis
E9,jara,Rospuda,ziarniak,G0,Penicilium sp.
E11,jara,Rospuda,korzen,G0,Sarocadium spinificis
E12,jara,Rospuda,korzen,G0,Fusarium sp.
E13,jara,Rospuda,korzen,G0,Sarocadium spinificis
E15,jara,Rospuda,korzen,G0,Sarocladium spinificis
E16,jara,Rospuda,korzen,G0,Sarocladium spinificis
E17,jara,Rospuda,korzen,G0,Sarocladium spinificis
E18,jara,Rospuda,korzen,G0,Sarocladium spinificis
E19,jara,Rusalka,lisc,G0,Penicilium sp.
E20,jara,Rusalka,lisc,G0,Penicillium chrysogenum
E21,jara,Rusalka,lodyga,G0,Sarocladium strictum
E22,jara,Rusalka,lodyga,G0,Sarocladium strictum
E23,jara,Rusalka,ziarniak,G0,Sarocladium strictum
E24,jara,Rusalka,ziarniak,G0,Sarocladium strictum
E25,jara,Rusalka,ziarniak,G0,Sarocladium strictum
E26,jara,Rusalka,ziarniak,G0,Sarocladium strictum
E27,jara,Rusalka,ziarniak,G0,Cladosporium sp.
E28,jara,Bombona,lisc,G0,Penicillium digitatum
E30,jara,Bombona,korzen,G0,Trichoderma sp.
E31,jara,Bombona,korzen,G0,Penicilium sp.
E32,jara,Bombona,ziarniak,G0,Penicillium olsonii
E33,jara,Bombona,ziarniak,G0,Penicillium olsonii
E34,jara,Bombona,ziarniak,G0,Penicilium sp.
E35,jara,Bombona,ziarniak,G0,Engyodontium album
E36,jara,Bombona,ziarniak,G0,Engyodontium album
E37,jara,Bombona,ziarniak,G0,Engyodontium album
E38,jara,Bombona,ziarniak,G0,Penicillium digitatum
E39,jara,Bombona,ziarniak,G0,Penicillium olsonii
E40,jara,Kandela,lisc,G0,Penicillium digitatum
E41,jara,Kandela,lisc,G0,Sarocladium spinificis
E42,jara,Kandela,lisc,G0,Penicillium olsonii
E43,jara,Kandela,lisc,G0,Penicillium olsonii
E44,jara,Kandela,lisc,G0,Sarocladium spinificis
E45,jara,Kandela,lisc,G0,Acremonium sp.
E46,jara,Kandela,lisc,G0,Penicillium olsonii
E47,jara,Kandela,lisc,G0,Sarocladium spinificis
E48,jara,Kandela,lisc,G0,Sarocladium spinificis
E49,jara,Kandela,lisc,G0,Sarocladium spinificis
E50,jara,Kandela,lodyga,G0,Lecanicillium lecanii
E51,jara,Kandela,lodyga,G0,Penicillium olsonii
E52,jara,Kandela,lodyga,G0,Penicillium olsonii
E53,jara,Kandela,lodyga,G0,Lecanicillium lecanii
E54,jara,Kandela,lodyga,G0,Sarocladium spinificis
E56,jara,Kandela,lodyga,G0,Penicillium olsonii
E57,jara,Kandela,lodyga,G0,Sarocadium spinificis
E58,jara,Kandela,lodyga,G0,Penicilium sp.
E59,jara,Kandela,lodyga,G0,Penicilium sp.
E60,jara,Kandela,lodyga,G0,Penicilium sp.
E62,jara,Kandela,lodyga,G0,Phlebia sp.
E63,jara,Kandela,korzen,G0,Penicillium olsonii
E64,jara,Kandela,korzen,G0,Penicilium sp.
E65,jara,Kandela,korzen,G0,Sarocladium spinificis
E66,jara,Kandela,korzen,G0,Penicillium digitatum
E67,jara,Kandela,korzen,G0,Penicillium olsonii
E68,jara,Kandela,korzen,G0,Penicillium olsonii
E69,jara,Kandela,ziarniak,G0,Acremonium sclerotigenum
E70,jara,Kandela,ziarniak,G0,Penicillium olsonii
E71,jara,Kandela,ziarniak,G0,Penicillium olsonii
E72,jara,Kandela,ziarniak,G0,Lecanicillium lecanii
E73,jara,Kandela,ziarniak,G0,Sarocladium sp.
E74,jara,Bombona,ziarniak,G0,Engyodontium album
E75,jara,Kandela,lodyga,G0,Penicilium sp.
E76,jara,Arabella,lisc,G0,Penicilium sp.
E77,jara,Arabella,lisc,G0,Penicillium olsonii
E78,jara,Arabella,lodyga,G0,Penicillium olsonii
E79,jara,Arabella,lodyga,G0,Sarocladium spinificis
E80,jara,Arabella,korzen,G0,Trichoderma viride
E81,jara,Arabella,korzen,G0,Trichoderma hamatum
E82,jara,Arabella,ziarniak,G0,Acremonium sclerotigenum
E83,jara,Arabella,ziarniak,G0,Clonostachys candelabrum
E84,jara,Arabella,ziarniak,G0,Penicillium olsonii
E85,jara,Arabella,ziarniak,G0,Penicillium olsonii
E86,ozima,Bamberka,ziarniak,G0,Sarocladium spinificis
E87,ozima,Bamberka,ziarniak,G0,Sarocladium spinificis
E88,ozima,Bamberka,ziarniak,G0,Penicilium sp.
E89,ozima,Bamberka,ziarniak,G0,Sarocladium spinificis
E90,ozima,Bamberka,ziarniak,G0,Sarocladium spinificis
E91,ozima,Bamberka,ziarniak,G0,Sarocladium sp.
E92,ozima,Bamberka,ziarniak,G0,Sarocladium spinificis
E93,ozima,Bamberka,ziarniak,G0,Sarocladium spinificis
E94,ozima,Bamberka,ziarniak,G0,Sarocladium spinificis
E95,ozima,Bamberka,lisc,G0,Sarocladium spinificis
E96,ozima,Bamberka,lisc,G0,Sarocladium spinificis
E97,ozima,Bamberka,lisc,G0,Cladosporium cladosporioides
E98,ozima,Bamberka,lisc,G0,Penicilium sp.
E99,ozima,Bamberka,lisc,G0,Cladosporium cladosporioides
E101,ozima,Bamberka,lisc,G0,Sarocladium spinificis
